FECHAMENTO CONTAINER OUTLET XADREZ;;;;;;;;;;;;;;
PESO TEORICO;;;;0,6447;;OPS UTILIZADAS;KGS UTILIZADOS;PEÇAS;;;CONFERENCIA DE GRAMATURA;;;
;PEÇAS;KGS;PESO UNIT;%;;242683;5825,9;8.636;;;MANTA;LARGURA;COMPRIMENTO;PESO
PEÇAS CORTADAS;34838;22460,0586;0,6447;94,47%;;242686;5903,3;9.478;;;#1;1,87;2,07;0,698
BABY RETIRADO;570;111,47262;0,195566;0,47%;;242688;5701,5;8.446;;;#2;1,86;2,05;0,666
RETALHOS; -   ;522,2; -   ;2,20%;;242692;6343,8;8.278;;;#3;1,85;2,12;0,682
;;;;;;TOTAL;23774,5;34.838;0,682430105;;#4;1,84;2,04;0,656
;;23093,73122;;97,14%;;;;;;;#5;1,84;2,04;0,7
;;;;;;;;;;;#6;1,88;2,08;0,646
PESO REAL;;;;0,678;;RESUMO TOTAL;;;;;#7;1,85;2,05;0,662
;PEÇAS;KGS;PESO UNIT;%;;KGS COLETADOS;23.774,50;;;;#8;1,86;2,06;0,672
PEÇAS CORTADAS;34838;23620,164;0,678;99,35%;;KGS CONSUMIDOS;23.093,73;;;;#9;1,83;2,05;0,688
BABY RETIRADO;570;111,47262;0,195566;0,47%;;;;;;;#10;1,84;2,04;0,682
RETALHOS; -   ;522,2; -   ;2,20%;;SALDO DEVEDOR (KGS);680,77;NF PERDA;;;#11;1,84;2,08;0,706
;;;;;;;;;;;#12;1,85;2,1;0,654
;;24253,83662;;102,02%;;;;;;;#13;1,87;2,06;0,7
;;;;;;;;;;;;;;
;;;;;;;;;;;MEDIA;1,8523;2,06;0,678
